"interpro_accession","total_freq","inKaKs2","geneid_vec","interpro_description","geneid_vec_wKaKs2","expected_freq","IDlong","fisher_res","fisher_res_BF","fisher_res_Holm","fisher_res_BH","fisher_res_BY"
"IPR041819",1,0,"FUN_001890","Rab4",NA,0.00410813676119799,"Rab4 IPR041819",1,1,1,1,1
"IPR041851",1,0,"FUN_014206","RecBCD enzyme subunit RecD, N-terminal domain",NA,0.00410813676119799,"RecBCD enzyme subunit RecD, N-terminal domain IPR041851",1,1,1,1,1
"IPR041854",2,0,"FUN_012835,FUN_015228","BFD-like [2Fe-2S]-binding domain superfamily",NA,0.00821627352239597,"BFD-like [2Fe-2S]-binding domain superfamily IPR041854",1,1,1,1,1
"IPR041863",1,0,"FUN_003804","DNA polymerase delta subunit 2, C-terminal domain",NA,0.00410813676119799,"DNA polymerase delta subunit 2, C-terminal domain IPR041863",1,1,1,1,1
"IPR041872",2,0,"FUN_015213,FUN_016646","Methionyl-tRNA synthetase, anticodon-binding domain",NA,0.00821627352239597,"Methionyl-tRNA synthetase, anticodon-binding domain IPR041872",1,1,1,1,1
"IPR041875",1,0,"FUN_010737","Syntaxin-8, SNARE domain",NA,0.00410813676119799,"Syntaxin-8, SNARE domain IPR041875",1,1,1,1,1
"IPR041881",1,0,"FUN_014671","Coenzyme PQQ synthesis protein D superfamily",NA,0.00410813676119799,"Coenzyme PQQ synthesis protein D superfamily IPR041881",1,1,1,1,1
"IPR041888",1,0,"FUN_004011","ZN598/Hel2, RING finger",NA,0.00410813676119799,"ZN598/Hel2, RING finger IPR041888",1,1,1,1,1
"IPR041897",1,0,"FUN_009235","Integrator complex subunit 11, MBL-fold",NA,0.00410813676119799,"Integrator complex subunit 11, MBL-fold IPR041897",1,1,1,1,1
"IPR041898",1,0,"FUN_001721","MAGE homology domain, winged helix WH1 motif",NA,0.00410813676119799,"MAGE homology domain, winged helix WH1 motif IPR041898",1,1,1,1,1
"IPR041899",1,0,"FUN_001721","MAGE homology domain, winged helix WH2 motif",NA,0.00410813676119799,"MAGE homology domain, winged helix WH2 motif IPR041899",1,1,1,1,1
"IPR041913",1,0,"FUN_002853","DNA polymerase delta subunit 3 superfamily",NA,0.00410813676119799,"DNA polymerase delta subunit 3 superfamily IPR041913",1,1,1,1,1
"IPR041921",1,0,"FUN_009407","NADH-quinone oxidoreductase subunit E, N-terminal",NA,0.00410813676119799,"NADH-quinone oxidoreductase subunit E, N-terminal IPR041921",1,1,1,1,1
"IPR041923",1,0,"FUN_001924","UBXN1, UBA domain",NA,0.00410813676119799,"UBXN1, UBA domain IPR041923",1,1,1,1,1
"IPR041931",2,0,"FUN_014530,FUN_016614","Bacterial DNA polymerase III alpha subunit, thumb domain",NA,0.00821627352239597,"Bacterial DNA polymerase III alpha subunit, thumb domain IPR041931",1,1,1,1,1
"IPR041938",1,0,"FUN_004165","Histone-lysine N-methyltransferase, N-terminal domain",NA,0.00410813676119799,"Histone-lysine N-methyltransferase, N-terminal domain IPR041938",1,1,1,1,1
"IPR041957",1,0,"FUN_015228","Nitrate reductase NapA-like, molybdopterin-binding domain",NA,0.00410813676119799,"Nitrate reductase NapA-like, molybdopterin-binding domain IPR041957",1,1,1,1,1
"IPR041960",1,0,"FUN_002543","Geranylgeranyl transferase type-1 subunit beta",NA,0.00410813676119799,"Geranylgeranyl transferase type-1 subunit beta IPR041960",1,1,1,1,1
"IPR041966",1,0,"FUN_014174","LOTUS-like domain",NA,0.00410813676119799,"LOTUS-like domain IPR041966",1,1,1,1,1
"IPR041973",1,0,"FUN_005246","Spt5, KOW domain repeat 1",NA,0.00410813676119799,"Spt5, KOW domain repeat 1 IPR041973",1,1,1,1,1
"IPR041976",1,0,"FUN_005246","Spt5, KOW domain repeat 3",NA,0.00410813676119799,"Spt5, KOW domain repeat 3 IPR041976",1,1,1,1,1
"IPR041977",1,0,"FUN_005246","Spt5, KOW domain repeat 4",NA,0.00410813676119799,"Spt5, KOW domain repeat 4 IPR041977",1,1,1,1,1
"IPR041978",1,0,"FUN_005246","Spt5, KOW domain repeat 5",NA,0.00410813676119799,"Spt5, KOW domain repeat 5 IPR041978",1,1,1,1,1
"IPR041982",1,0,"FUN_010577","Ribosomal protein S4, KOW domain",NA,0.00410813676119799,"Ribosomal protein S4, KOW domain IPR041982",1,1,1,1,1
"IPR041988",3,0,"FUN_006598,FUN_010408,FUN_014136","Ribosomal protein L26/L24, KOW domain",NA,0.012324410283594,"Ribosomal protein L26/L24, KOW domain IPR041988",1,1,1,1,1
"IPR041991",1,0,"FUN_005401","Eukaryotic Ribosomal Protein L27, KOW domain",NA,0.00410813676119799,"Eukaryotic Ribosomal Protein L27, KOW domain IPR041991",1,1,1,1,1
"IPR041994",1,0,"FUN_005309","G-patch domain and KOW motifs-containing protein, KOW 2",NA,0.00410813676119799,"G-patch domain and KOW motifs-containing protein, KOW 2 IPR041994",1,1,1,1,1
